disease,symptom,text
acne,,I've been dealing with a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.
acne,,I recently had a horrible rash on my skin. There are several blackheads and pus-filled pimples. My skin has also been moving around a lot.
acne,,I've been having a really bad rash on my skin lately. It's full of pus-filled pimples and blackheads. My skin has also been scurring a lot.
acne,,I've just developed a severe rash on my skin. It's clogged with pus-filled pimples and blackheads. My skin has also been quite sensitive.
acne,,"My skin has been breaking out in a terrible rash lately. Blackheads and pus-filled pimples abound on it. Additionally, my skin has been scurring a lot."
acne,,"I've recently been experiencing a severe skin rash. Blackheads and pimples packed with pus are everywhere. Additionally, my skin has been scurring a lot."
acne,,I've been having a very unhealthy rash on my skin latterly. It's filled with pus-filled pimples and blackheads. My skin has additionally been scurring heaps.
acne,,My skin has just acquired a nasty rash. It's full of pus-filled pimples and blackheads. My skin has been really sensitive as well.
acne,,"This morning when I woke up, I discovered that I have an extremely bad rash all over my body. There are several pus-filled pimples and blackheads all around. My skin has also been moving around a lot."
acne,,"A nasty rash has just appeared on my skin. Blackheads and pimples packed with pus are everywhere. Additionally, my skin has been extremely sensitive."
acne,,"I recently experienced a severe skin rash. Blackheads and pimples filled with pus are clogging it. Additionally, my skin has been quite irritated."
acne,,My skin has recently been severely rashy. Blackheads and pus-filled pimples have blocked it. My skin has been quite delicate as well.
acne,,Lately I've been experiencing a skin rash with a lot of pus-filled pimples and blackheads. My skin has also been scurring a lot.
acne,,"A skin rash with several pus-filled pimples and blackheads has been bothering me lately. Additionally, my skin has been scurring a lot."
acne,,My skin has now developed a revolting rash. There are pus-filled pimples and blackheads everywhere. My skin has also been really sensitive.
acne,skin rash,
acne,,"A nasty rash has just appeared on my skin. Blackheads and pimples packed with pus are everywhere. Additionally, my skin has been extremely sensitive."
acne,,"My skin has developed a horrible rash. There are blackheads and pus-filled pimples everywhere. Furthermore, my skin has been exceedingly sensitive."
acne,,I've been dealing with a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.
acne,,I just developed a really nasty rash on my skin. There are tons of blackheads and pimples that are filled with pus. My skin has also been really scurrying.
acne,,I've been struggling with a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.
acne,,I woke up this morning to find a really nasty rash on my skin. There are a ton of blackheads and pimples that are filled with pus. My skin has also been really scurrying.
acne,or roughness,
acne,,I just developed a really nasty rash on my skin. There are tons of blackheads and pimples that are filled with pus. My skin has also been really scurrying.
acne,,I've recently developed a terrible rash on my skin. It's riddled with blackheads and pus-filled pimples. My skin has also been scurrying everywhere.
acne,,My skin has simply nonheritable a nasty rash. It's packed with pus-filled pimples and blackheads. My skin has been very sensitive moreover.
acne,,"My skin has developed a terrible rash that is not inherited. It has a lot of blackheads and pus-filled pimples. Furthermore, my skin has been exceedingly sensitive."
acne,,"Recently, I've been experiencing a lot of acne breakouts with pimples that contain pus. I've also been struggling with blackheads."
acne,,I woke up this morning and found that I have a really nasty rash all over my skin. There are a ton of blackheads and pimples that are filled with pus. My skin has also been really scurrying.
acne,,I've been noticing a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.
actinic keratosis,scaliness,
actinic keratosis,or roughness,
actinic keratosis,skin rash,
actinic keratosis,skin swelling,
actinic keratosis,skin lesion,
actinic keratosis,skin irritation,
actinic keratosis,abnormal appearing skin,
actinic keratosis,skin dryness,
actinic keratosis,itching of skin,
actinic keratosis,peeling,
actinic keratosis,skin moles,
actinic keratosis,irregular appearing scalp,
actinic keratosis,skin growth,
actinic keratosis,symptoms of the face,
acute bronchiolitis,shortness of breath,
acute bronchiolitis,cough,
acute bronchiolitis,nasal congestion,
acute bronchiolitis,pulling at ears,
acute bronchiolitis,irritable infant,
acute bronchiolitis,vomiting,
acute bronchiolitis,wheezing,
acute bronchiolitis,decreased appetite,
acute bronchiolitis,fever,
acute bronchiolitis,difficulty breathing,
acute bronchiolitis,hurts to breath,
acute bronchiolitis,coryza,
acute bronchitis,sore throat,
acute bronchitis,sharp chest pain,
acute bronchitis,cough,
acute bronchitis,nasal congestion,
acute bronchitis,wheezing,
acute bronchitis,fever,
acute bronchitis,coughing up sputum,
acute bronchitis,coryza,
acute bronchitis,congestion in chest,
acute bronchitis,shortness of breath,
acute bronchitis,difficulty breathing,
acute bronchitis,headache,
acute bronchospasm,sore throat,
acute bronchospasm,chest tightness,
acute bronchospasm,sharp chest pain,
acute bronchospasm,shortness of breath,
acute bronchospasm,cough,
acute bronchospasm,nasal congestion,
acute bronchospasm,vomiting,
acute bronchospasm,wheezing,
acute bronchospasm,fever,
acute bronchospasm,difficulty breathing,
acute bronchospasm,coryza,
acute fatty liver of pregnancy (aflp),sharp abdominal pain,
acute fatty liver of pregnancy (aflp),emotional symptoms,
acute glaucoma,diminished vision,
acute glaucoma,double vision,
acute glaucoma,foreign body sensation in eye,
acute glaucoma,pain in eye,
acute glaucoma,spots or clouds in vision,
acute glaucoma,eye redness,
acute glaucoma,blindness,
acute glaucoma,symptoms of eye,
acute kidney injury,vomiting,
acute kidney injury,dizziness,
acute kidney injury,retention of urine,
acute kidney injury,sharp abdominal pain,
acute kidney injury,nausea,
acute kidney injury,kidney mass,
acute kidney injury,weakness,
acute kidney injury,shortness of breath,
acute kidney injury,symptoms of the kidneys,
acute kidney injury,peripheral edema,
acute kidney injury,sharp chest pain,
acute otitis media,cough,
acute otitis media,sore throat,
acute otitis media,redness in ear,
acute otitis media,coryza,
acute otitis media,fever,
acute otitis media,fluid in ear,
acute otitis media,plugged feeling in ear,
acute otitis media,ear pain,
acute otitis media,diminished hearing,
acute otitis media,nasal congestion,
acute pancreatitis,sharp chest pain,
acute pancreatitis,abusing alcohol,
acute pancreatitis,sharp abdominal pain,
acute pancreatitis,vomiting,
acute pancreatitis,nausea,
acute pancreatitis,back pain,
acute pancreatitis,burning abdominal pain,
acute pancreatitis,side pain,
acute pancreatitis,lower body pain,
acute pancreatitis,upper abdominal pain,
acute pancreatitis,hemoptysis,
acute pancreatitis,diarrhea,
acute respiratory distress syndrome (ards),wheezing,
acute respiratory distress syndrome (ards),chills,
acute respiratory distress syndrome (ards),difficulty breathing,
acute respiratory distress syndrome (ards),fever,
acute respiratory distress syndrome (ards),cough,
acute respiratory distress syndrome (ards),chest tightness,
acute respiratory distress syndrome (ards),sharp chest pain,
acute respiratory distress syndrome (ards),depressive or psychotic symptoms,
acute respiratory distress syndrome (ards),shortness of breath,
acute sinusitis,painful sinuses,
acute sinusitis,ear pain,
acute sinusitis,facial pain,
acute sinusitis,nasal congestion,
acute sinusitis,cough,
acute sinusitis,sore throat,
acute sinusitis,sinus congestion,
acute sinusitis,coryza,
acute sinusitis,frontal headache,
acute sinusitis,fever,
acute sinusitis,coughing up sputum,
acute stress reaction,fatigue,
acute stress reaction,depressive or psychotic symptoms,
acute stress reaction,abnormal involuntary movements,
acute stress reaction,burning abdominal pain,
acute stress reaction,headache,
acute stress reaction,insomnia,
acute stress reaction,shortness of breath,
acute stress reaction,dizziness,
acute stress reaction,anxiety and nervousness,
acute stress reaction,depression,
acute stress reaction,sharp chest pain,
adhesive capsulitis of the shoulder,ache all over,
adhesive capsulitis of the shoulder,shoulder stiffness or tightness,
adhesive capsulitis of the shoulder,shoulder pain,
adhesive capsulitis of the shoulder,muscle pain,
adhesive capsulitis of the shoulder,neck pain,
adhesive capsulitis of the shoulder,arm pain,
adjustment reaction,restlessness,
adjustment reaction,anxiety and nervousness,
adjustment reaction,depression,
adjustment reaction,insomnia,
adjustment reaction,nightmares,
adjustment reaction,fears and phobias,
adjustment reaction,hostile behavior,
adjustment reaction,excessive anger,
adjustment reaction,delusions or hallucinations,
adrenal adenoma,shortness of breath,
adrenal adenoma,sharp abdominal pain,
adrenal adenoma,back weakness,
adrenal adenoma,anxiety and nervousness,
adrenal cancer,diminished hearing,
adrenal cancer,dizziness,
alcohol abuse,low self-esteem,
alcohol abuse,vomiting blood,
alcohol abuse,drug abuse,
alcohol abuse,abusing alcohol,
alcohol abuse,depressive or psychotic symptoms,
alcohol abuse,depression,
alcohol abuse,anxiety and nervousness,
alcohol abuse,smoking problems,
alcohol abuse,hostile behavior,
alcohol intoxication,depressive or psychotic symptoms,
alcohol intoxication,sharp chest pain,
alcohol intoxication,abusing alcohol,
alcohol intoxication,vomiting,
alcohol intoxication,problems with movement,
alcohol intoxication,depression,
alcohol intoxication,anxiety and nervousness,
alcohol intoxication,abnormal involuntary movements,
alcohol withdrawal,vomiting,
alcohol withdrawal,fainting,
alcohol withdrawal,abusing alcohol,
alcohol withdrawal,abnormal involuntary movements,
alcohol withdrawal,dizziness,
alcohol withdrawal,depressive or psychotic symptoms,
alcohol withdrawal,sharp chest pain,
alcohol withdrawal,seizures,
alcohol withdrawal,delusions or hallucinations,
alcohol withdrawal,antisocial behavior,
alcoholic liver disease,sharp abdominal pain,
alcoholic liver disease,abusing alcohol,
alcoholic liver disease,abnormal involuntary movements,
alcoholic liver disease,weight gain,
alcoholic liver disease,stomach bloating,
alcoholic liver disease,diarrhea,
alcoholic liver disease,peripheral edema,
allergy,,I hace difficulty in breething and shortness of breath. I cough uncontrollably and get itchy eyes and swelling on my face and other body parts
allergy,,I have a nasal congestion and blocked nose. Sometimes at night I have chest pain and tightness. I have also lost my sense of smell and taste
allergy,,I have sore throat and I am sneezing all the time. Sometimes I have swelling on my face like my lips and near my eyes. I just cant stop sneezing once I start sneezing
allergy,,"I have a runny nose and I am sneezing all the time. My eyes are itchy and often watery, and I am coughing all the time. My head hurts and all the time"
allergy,skin rash,
allergy,itchiness of eye,
allergy,itching of skin,
allergy,peripheral edema,
allergy,abnormal appearing skin,
allergy,lip swelling,
allergy,allergic reaction,
allergy,skin swelling,
allergy,fluid retention,
allergy,swollen eye,
allergy,cough,
allergy,,"I feel tired all the time, I have lost my taste and have a really sore throat. I also get feverish and often have muscle aches. Sometimes my whole body just cramps up"
allergy,,I have asthma like symptoms like wheezing and difficulty breathing. I often get fever and have headaches. I feel tired all the time
allergy,,"I have nasal congestion and a blocked nose. On occasion, during the night, I have stiffness and chest pain. Additionally, I've lost my senses of taste and smell."
allergy,,"I'm dizzy, nauseated, and shaky. I'm having trouble breathing since my throat is swollen. On occasion, throughout the night, my chest hurts and I feel sick."
allergy,,I always feel exhausted and have a tickle in my throat. My skin has also started to feel dry. I occasionally get ocular swelling.
allergy,,"My throat always tickles, and I'm worn out. Additionally, my skin has started to feel dry. Ocular inflammation occasionally affects me."
allergy,,I have been experiencing a loss of appetite and have difficulty swallowing food. I have been suffering from sore throat and runnny nose also.
allergy,,"Along with losing my appetite, I've been having swallowing issues. I have a sore throat, and my nose has been running."
allergy,,"I always feel worn out, have unpleasant taste in my mouth, and have a really itchy throat. My muscles are also hot and hurting. Sometimes my whole body just cramps up."
allergy,,"I have a sore throat and a lot of sneezing. There are times when the skin around my eyes and my lips swell. I find that once I start, I just cannot stop."
allergy,,"I have trouble breathing and easily get out of breath. My face and torso are swollen, my eyes hurt, and I have a dry, hacking cough."
allergy,,"I've been losing my appetite, and I also have trouble swallowing. My nose has been running, and I have a sore throat."
allergy,,I'm always worn out and experiencing a tingle in my throat. I've also started to have dry skin. My eyes occasionally swell up
allergy,,"I feel queasy, nauseous, and dizzy. I have a swelling throat and am having breathing issues. I occasionally have chest discomfort and nausea at night."
allergy,,"My skin is red and scratchy. These can occasionally flake. My cheeks and lips swell, which is really annoying. I occasionally have headaches and runny eyes because to the puffing."
allergy,,"I frequently sneeze, and my nose runs. I constantly cough, and my eyes are sore and watery. My head hurts all the time."
allergy,,I have a sore throat and frequently sneeze. Sometimes the skin around my eyes and my lips swells. I just can't stop sneezing once I get going.
allergy,,"I have respiratory issues and experience breathlessness. My face and torso are swollen, my eyes are itching, and I have a dry, hacking cough."
allergy,,"I have nasal congestion and a blocked nose. On occasion, during the night, I have stiffness and chest pain. I've also lost my senses of taste and smell."
allergy,,"I get breathing issues and wheezing, which are asthma symptoms. I regularly have fevers and headaches. I constantly feel worn out."
allergy,,"I get breathing issues and wheezing, which are asthma symptoms. I regularly have fevers and headaches. I'm always worn out."
allergy,,"I frequently have exhaustion, a terrible taste in my mouth, and throat itchiness. My muscles are also burning and uncomfortable. Sometimes I have cramps all throughout my body."
allergy,,"My appetite has decreased, and I've been having swallowing issues. I have a sore throat, and my nose has been running."
allergy,,"My skin is itching and swollen. Sometimes, they could flake. My lips and cheeks swelling aches a lot. The puffing occasionally gives me headaches and runny eyes."
allergy,,"My skin is irritated and inflamed. Sometimes, they can flake. My lips and cheeks expand, and it is really unpleasant. Because of the puffing, I occasionally have headaches and wet eyes."
allergy,,"My nose runs and I sneeze a lot. My eyes are wet and hurt, and I cough all the time. My head aches constantly."
allergy,,"I'm nauseous, ill, and shaky. I have a huge throat, which makes it tough for me to breathe. I occasionally have nighttime chest aches and occasional sickness."
allergy,,"I have breathing problems and become out of breath easily. My eyes ache, I have a dry, hacking cough, and my face and body are bloated."
allergy,,"I always feel exhausted, have bad taste, and have an extremely scratchy throat. I also have muscular pain and heat. My entire body simply cramps up occasionally."
allergy,,"I sneeze a lot and my nose is running. My eyes ache and are damp, and I frequently croak. My head hurts all the time."
allergy,,"I have trouble breathing and get short of breath. I have a dry, hacking cough, itchy eyes, and swelling all over my face and body."
allergy,,"I sneeze a lot and have a sore throat. My lips and the skin surrounding my eyes will occasionally swell. Once I start, I just can't stop sneezing."
allergy,,"I often sneeze and have a sore throat. My lips and the area around my eyes occasionally swell. Once I start sneezing, I just can't stop."
allergy,,My skin is swollen and itchy. They may occasionally flake. It hurts a lot when my cheeks and lips swell. I occasionally get headaches and watery eyes from the puffing.
allergy,,"I feel queasy, sick, and wobbly. My throat is enlarged and making it difficult for me to breathe. My chest occasionally pains all through the night, and I occasionally feel ill."
allergy,,"I get symptoms of asthma, such as wheezing and breathing problems. I frequently have headaches and fever. All the time, I feel exhausted."
allergy,,I have a plugged nose and nasal congestion. I occasionally have stiffness and chest discomfort at night. I've also lost my ability to taste and smell.
allergy,,I always get a tickle in my throat and feel fatigued. My skin has begun to feel dry as well. I have ocular edema on occasion.
allergy,,I have itchy and red skin. Sometimes these result in flaking. My face and lips puff up and causes a lot of inconvinience. I get watery eyes sometimes and headches when the puffing gets severe
allergy,,"I've been losing my appetite and having trouble swallowing. My nose has been running, and I have a sore throat."
allergy,,"I have stomach cramps, nausea and diarrhea. My throat is swollen, and I have difficulty breathing. Sometimes at night night I get chest pain and nauseous."
allergy,,"I feel fatigued all the time, and have a tingling sensation in my throat. I have also developed flaky skin. Sometimes I get puffy eyes and sometimes puffs up too."
allergy,,"I always feel exhausted, have a bad taste in my mouth, and my throat itches a lot. Also heated and painful are my muscles. My entire body can cramp up at times."
allergy,,"I get wheezing and breathing difficulties, which are asthma symptoms. I frequently have headaches and fever. I'm continuously exhausted."
allergy,,I have a plugged nose and nasal congestion. I occasionally have stiffness and chest discomfort during the night. I've also lost my ability to smell and taste.
allergy,,"I often sneeze and have a runny nose. My eyes are scratchy and frequently runny, and I frequently cough. My head hurts constantly."
allergy to animals,sore throat,
allergy to animals,nasal congestion,
allergy to animals,cross-eyed,
allergy to animals,allergic reaction,
allergy to animals,cough,
alopecia,itching of skin,
alopecia,skin rash,
alopecia,skin swelling,
alopecia,feeling ill,
alopecia,acne or pimples,
alopecia,skin growth,
alopecia,irregular appearing scalp,
alopecia,too little hair,
alzheimer disease,depressive or psychotic symptoms,
alzheimer disease,hostile behavior,
alzheimer disease,irregular appearing scalp,
alzheimer disease,eye burns or stings,
alzheimer disease,depression,
alzheimer disease,difficulty speaking,
alzheimer disease,disturbance of memory,
alzheimer disease,delusions or hallucinations,
amblyopia,pain in eye,
amblyopia,diminished vision,
amblyopia,cross-eyed,
amblyopia,eye deviation,
amblyopia,pus draining from ear,
amyloidosis,shortness of breath,
amyloidosis,anxiety and nervousness,
amyloidosis,wrist weakness,
amyotrophic lateral sclerosis (als),abnormal involuntary movements,
amyotrophic lateral sclerosis (als),weakness,
amyotrophic lateral sclerosis (als),difficulty in swallowing,
amyotrophic lateral sclerosis (als),difficulty speaking,
amyotrophic lateral sclerosis (als),leg cramps or spasms,
anal fissure,sharp abdominal pain,
anal fissure,lower body pain,
anal fissure,changes in stool appearance,
anal fissure,rectal bleeding,
anal fissure,constipation,
anal fissure,pain of the anus,
anal fissure,vaginal dryness,
anal fissure,blood in stool,
anal fistula,rectal bleeding,
anal fistula,pain of the anus,
anal fistula,mass in scrotum,
anal fistula,blood in stool,
anemia,shortness of breath,
anemia,dizziness,
anemia,nosebleed,
anemia,weakness,
anemia,vomiting blood,
anemia,melena,
anemia,changes in stool appearance,
anemia,fatigue,
anemia due to chronic kidney disease,recent weight loss,
anemia due to chronic kidney disease,weakness,
anemia due to chronic kidney disease,ankle swelling,
anemia due to chronic kidney disease,shortness of breath,
anemia due to chronic kidney disease,peripheral edema,
anemia due to chronic kidney disease,fatigue,
anemia due to malignancy,shortness of breath,
anemia due to malignancy,difficulty in swallowing,
anemia due to malignancy,flatulence,
anemia due to malignancy,fatigue,
anemia of chronic disease,weakness,
anemia of chronic disease,feeling ill,
anemia of chronic disease,emotional symptoms,
anemia of chronic disease,dizziness,
angina,palpitations,
angina,sharp chest pain,
angina,sweating,
angina,lower body pain,
angina,increased heart rate,
angina,arm pain,
angina,shortness of breath,
angina,irregular heartbeat,
angina,chest tightness,
angina,dizziness,
angina,hot flashes,
ankylosing spondylitis,stiffness all over,
ankylosing spondylitis,hip pain,
ankylosing spondylitis,back pain,
ankylosing spondylitis,low back pain,
ankylosing spondylitis,knee pain,
ankylosing spondylitis,elbow pain,
ankylosing spondylitis,paresthesia,
ankylosing spondylitis,ache all over,
ankylosing spondylitis,lower body pain,
ankylosing spondylitis,leg pain,
anxiety,sharp chest pain,
anxiety,increased heart rate,
anxiety,headache,
anxiety,irregular heartbeat,
anxiety,palpitations,
anxiety,abnormal involuntary movements,
anxiety,insomnia,
anxiety,depressive or psychotic symptoms,
anxiety,shortness of breath,
anxiety,depression,
anxiety,anxiety and nervousness,
anxiety,fears and phobias,
aortic valve disease,lymphedema,
aortic valve disease,difficulty breathing,
aortic valve disease,peripheral edema,
aortic valve disease,sharp chest pain,
aortic valve disease,groin mass,
aortic valve disease,irregular heartbeat,
aortic valve disease,palpitations,
aortic valve disease,fainting,
aortic valve disease,shortness of breath,
aphakia,symptoms of eye,
aphakia,eye burns or stings,
aphakia,spots or clouds in vision,
aphakia,diminished vision,
aphthous ulcer,mouth pain,
aphthous ulcer,cough,
aphthous ulcer,headache,
aphthous ulcer,toothache,
aphthous ulcer,mouth ulcer,
aphthous ulcer,fever,
aphthous ulcer,tongue lesions,
aphthous ulcer,sore throat,
aplastic anemia,weakness,
aplastic anemia,nausea,
aplastic anemia,lack of growth,
aplastic anemia,fever,
aplastic anemia,fatigue,
aplastic anemia,slurring words,
appendicitis,diarrhea,
appendicitis,nausea,
appendicitis,side pain,
appendicitis,fever,
appendicitis,vomiting,
appendicitis,stomach bloating,
appendicitis,sharp abdominal pain,
appendicitis,decreased appetite,
appendicitis,burning abdominal pain,
appendicitis,upper abdominal pain,
appendicitis,lower abdominal pain,
arrhythmia,fainting,
arrhythmia,chest tightness,
arrhythmia,palpitations,
arrhythmia,shortness of breath,
arrhythmia,sharp chest pain,
arrhythmia,dizziness,
arrhythmia,leg cramps or spasms,
arrhythmia,fatigue,
arthritis,,"My muscles have been feeling really weak, and my neck has been extremely tight. I've been experiencing a lot of stiffness when I walk about and my joints have been swollen. Walking has also been really uncomfortable."
arthritis,,"My muscles have been feeling feeble recently, but my neck has been rock solid. My joints have become swollen, making it difficult for me to move about. Walking has been quite uncomfortable as well."
arthritis,,"My muscles have been feeling rather weak lately, but my neck has been really strong. My joints have swollen, making it challenging for me to move about. It has also been excruciatingly difficult to walk."
arthritis,,My neck has been extremely tight and my muscles have felt quite weak recently. It is difficult for me to move around without becoming stiff due to my swollen joints. Walking has also been extremely uncomfortable.
arthritis,,"I've been experiencing stiffness and weakness in my neck muscles recently. Since my joints have grownup, it's heavy on behalf of Pine Tree State to run whereas not getting stiff. additionally, walking has been terribly uncomfortable."
arthritis,,"I've been experiencing muscular weakness and stiffness in my neck recently. My joints have swollen, creating it troublesome on behalf of me to run regarding while not changing into stiff. Walking has additionally been agonizingly uncomfortable."
arthritis,,"My muscles are quite weak, and my neck has been very stiff. My joints have swollen, creating it troublesome on behalf of me to steer concerning while not feeling stiff. Walking has conjointly been very uncomfortable."
arthritis,,"My muscles area unit quite weak, and my neck has been terribly stiff. My joints have swollen, making it hard on behalf of Maine to steer regarding whereas not feeling stiff. Walking has put together been terribly uncomfortable."
arthritis,,"I've been experiencing stiffness and weakness in my neck muscles recently. Since my joints have grownup, it's onerous on behalf of me to run while not obtaining stiff. in addition, walking has been extraordinarily uncomfortable."
arthritis,,I've been feeling truly frail in my muscles recently and my neck has been truly solid. It has been difficult for me to move around because my joints have been swelling. Walking has also been extremely painful.
arthritis,,"I've been experiencing muscular weakness and stiffness in my neck recently. My joints have enlarged, making it difficult for me to move. Walking has also been difficult."
arthritis,,"My muscles have been really weak, and my neck has been extremely stiff. My joints have swollen, making it difficult for me to walk about without feeling stiff. Walking has also been really uncomfortable."
arthritis,,My neck has been very tight and my muscles have felt quite weak recently. it's tough on behalf of me to maneuver around while not changing into stiff thanks to my swollen joints. Walking has additionally been very uncomfortable.
arthritis,,"My neck has been extremely stiff and my muscles have been extremely weak. As a result of swelling in my joints, I find it difficult to move around without feeling stiff. Additionally, walking has been extremely uneasy."
arthritis,,"I've been experiencing stiffness and weakness in my neck muscles recently. Since my joints have grown, it's hard for me to walk without getting stiff. Additionally, walking has been extremely uncomfortable."
arthritis,,"My neck has been extremely tight and my muscles have been feeling extremely weak. My joints have been swollen and I've been walking around with a lot of stiffness. Additionally, walking has been extremely uneasy."
arthritis,,"I've been experiencing stiffness and weakness in my neck muscles recently. Since my joints have grown, it's hard for me to walk without getting stiff. Additionally, walking has been extremely uncomfortable."
arthritis,,I've been feeling really weak in my muscles and my neck has been really stiff. My joints have been swelling up and it's hard for me to move around without feeling stiff. Walking has been really painful too.
arthritis,,"My muscles have been quite weak, and my neck has been really stiff. My joints have swollen, making it difficult for me to walk about without feeling stiff. Walking has also been really uncomfortable."
arthritis,,"Recently, my muscles have felt quite weak, and my neck has been really tight. I have swollen joints, making it difficult for me to move. Walking has also been painful."
arthritis,,"I've been experiencing severe muscular weakness, and my neck has been really stiff. I have swollen joints and find it difficult to move about without becoming stiff. It has also been really uncomfortable to walk."
arthritis,,I've been feeling truly frail in my muscles recently and my neck has been truly solid. Swollen joints make it difficult for me to move around. Walking has also been difficult.
arthritis,,My neck has been extremely tight and my muscles have been feeling extremely weak. It is difficult for me to move around without becoming stiff due to my swollen joints. Walking has also been extremely uncomfortable.
arthritis,,"My muscles have been feeling really weak, and my neck has been extremely tight. I have swollen joints and find it difficult to move about without becoming stiff. It has also been really uncomfortable to walk."
arthritis,,I've been feeling really weak in my muscles and my neck has been really stiff. My joints have been swelling up and it's hard for me to move around without feeling stiff. Walking has been really painful too.
arthritis,,"My neck has been really tight, and my muscles have been rather weak. I have swelling joints that make it hard for me to move without getting stiff. Additionally, walking has been quite unpleasant."
