source_url,disease_name,symptom_list,generated_sentence_from_symptoms
https://medlineplus.gov/ency/article/002616.htm,Contac overdose,"Convulsions (seizures) | Blurred vision | Delirium (acute confusion) | Inability to urinate or completely empty the bladder | Nausea and vomiting | Enlarged (dilated) pupils | Disorientation, nervousness, hallucinations | Rapid heartbeat | Depression | Fever | Yellow eyes due to jaundice | Drowsiness | Increased blood pressure | Agitation | Irregular heartbeat | Muscle pain and spasms, tremor, unsteadiness","I've been experiencing a multitude of alarming symptoms lately, including convulsions, blurred vision, and delirium, which has left me feeling disoriented and confused. I've also had difficulty urinating and completely emptying my bladder, accompanied by nausea and vomiting. My pupils have become enlarged, and I've been experiencing hallucinations, rapid heartbeat, and depression. Additionally, I've had a fever, and my eyes have turned yellow due to jaundice. I've been feeling extremely drowsy, and my blood pressure has increased significantly. I've also become agitated, with an irregular heartbeat, and I've been experiencing muscle pain and spasms, tremors, and unsteadiness."
https://medlineplus.gov/ency/article/007312.htm,Pneumothorax - infants,Bluish skin color (cyanosis) | Restlessness | Irritability | Use of additional chest and abdominal muscles to aid breathing (retractions) | Grunting with breathing | Fast breathing | Flaring of the nostrils,"I've been noticing some concerning symptoms in my child lately, including a bluish skin color, which is really worrying me. Along with this, they've been extremely restless and irritable, and I've observed them using their chest and abdominal muscles to aid their breathing, which looks like they're straining to get air in. When they breathe, they often grunt, and their breathing is very fast. I've also noticed their nostrils flaring when they inhale, which seems to be a sign of distress."
https://medlineplus.gov/ency/article/001051.htm,Cleft lip and palate,Change in nose shape (how much the shape changes varies) | Poorly aligned teeth | Speech difficulties | Repeated ear infections | Poor growth | Failure to gain weight | Feeding problems | Flow of milk through nasal passages during feeding,"I've been noticing some concerns with my child's development, including a change in the shape of their nose, which seems to vary in degree. Additionally, their teeth are poorly aligned, and they're experiencing speech difficulties. We've also had to deal with repeated ear infections, and I've observed that they're having trouble growing and gaining weight. Feeding has been a challenge, and I've noticed that milk often flows through their nasal passages during feeding, which is quite concerning."
https://medlineplus.gov/ency/article/000903.htm,Abnormal uterine bleeding,"Tenderness and dryness of the vagina | Heavier bleeding (such as passing large clots, needing to change protection during the night, soaking through a sanitary pad or tampon every hour for 2 to 3 hours in a row) | Mood swings | Periods that occur less than 28 days apart (more common) or more than 35 days apart | Bleeding or spotting from the vagina between periods | Excessive growth of body hair in a male pattern (hirsutism) | Hot flashes | Bleeding that lasts for more days than normal or for more than 7 days | Time between periods changes each month","I've been experiencing some concerning symptoms related to my menstrual cycle, including tenderness and dryness of the vagina, as well as heavier bleeding, which has led to me passing large clots, needing to change my protection during the night, and soaking through a sanitary pad or tampon every hour for 2 to 3 hours in a row. Along with these physical symptoms, I've also been experiencing mood swings. My periods have become irregular, occurring less than 28 days apart or more than 35 days apart, and I've noticed bleeding or spotting from the vagina between periods. Additionally, I've developed excessive growth of body hair in a male pattern, which is quite distressing. I've also been experiencing hot flashes, and my bleeding has been lasting for more days than normal, often exceeding 7 days. To make matters more complicated, the time between my periods has been changing each month, making it difficult for me to predict when my next period will be."
https://medlineplus.gov/ency/article/000372.htm,Hereditary urea cycle abnormality,"Nausea, vomiting | Decreased food intake | Increased sleepiness, difficulty waking up | Dislike of foods that contain proteinÂ | Confusion","I've been experiencing some concerning symptoms lately, including frequent nausea and vomiting, which has led to a decreased food intake. As a result, I've been feeling extremely sleepy and have difficulty waking up. I've also developed an unusual dislike for foods that contain protein, which is quite unusual for me. Furthermore, I've been experiencing confusion, which is adding to my distress."
https://medlineplus.gov/ency/article/000069.htm,Idiopathic pulmonary fibrosis,"Shortness of breath during activity (this symptom lasts for months or years, and over time may also occur when at rest) | Feeling faint | Gradual weight loss | Chest pain (sometimes) | Cough (usually dry) | Not able to be as active as before","I've been experiencing some concerning symptoms over the past few months, including shortness of breath that's been persistent during physical activity and has recently started to occur even when I'm at rest. I've also been feeling faint, which can be quite unsettling. Along with this, I've noticed a gradual weight loss, which I hadn't intended, and occasionally, I experience chest pain. Furthermore, I've had a dry cough that's been lingering, and I've found that I'm not able to be as active as I used to be, which is really affecting my daily life."
https://medlineplus.gov/ency/article/000405.htm,Chylomicronemia syndrome,"Yellow deposits of fatty material in the skin called xanthomas. These growths may appear on the back, buttocks, soles of the feet, or ankles, knees and elbows. | Symptoms of nerve damage, such as loss of feeling in the feet or legs, and memory loss. | Abdominal pain due to pancreatitis (inflammation of the pancreas).","I've been noticing some unusual growths on my skin, specifically yellow deposits of fatty material called xanthomas, which have appeared on my back, buttocks, soles of my feet, ankles, knees, and elbows. Additionally, I've been experiencing symptoms of nerve damage, including a loss of feeling in my feet and legs, as well as some memory loss. Furthermore, I've been having abdominal pain, which I suspect might be related to pancreatitis, or inflammation of the pancreas."
https://medlineplus.gov/ency/article/007749.htm,Scleredema diabeticorum,"Lesions occur on the same areas on both sides of the body (symmetrical). | Reddish, painless lesions. | Thick, hard skin that feels smooth. You cannot pinch the skin over the upper back or neck.","I've noticed that I've been developing some unusual skin lesions that occur symmetrically on both sides of my body, and they're reddish in color and completely painless. The affected areas have thick, hard skin that feels smooth to the touch, and what's even stranger is that I can't pinch the skin over my upper back or neck."
https://medlineplus.gov/ency/article/001392.htm,Pharyngitis - viral,Joint pain or muscle aches | Sore throat | Fever | Discomfort when swallowing | Tender swollen lymph nodes in the neck,"I've been experiencing some uncomfortable symptoms lately, including joint pain and muscle aches, along with a sore throat that's made swallowing quite uncomfortable. I've also had a fever, and noticed that my lymph nodes in the neck are tender and swollen."
https://medlineplus.gov/ency/article/000194.htm,Cardiac tamponade,"Fainting, lightheadedness | Sharp chest pain that is felt in the neck, shoulder, back, or abdomen | Chest pain that gets worse with deep breathing or coughing | Anxiety, restlessness | Pale, gray, or blue skin | Problems breathing | Jaundice | Dizziness | Swelling of the legs or abdomen | Discomfort, sometimes relieved by sitting upright or leaning forward | Weak or absent pulse | Drowsiness | Palpitations","I've been experiencing some frightening symptoms lately, including fainting and lightheadedness, which have left me feeling anxious and restless. I've had sharp chest pain that radiates to my neck, shoulder, back, or abdomen, and it worsens when I take deep breaths or cough. Along with this, I've noticed problems breathing, and my skin has taken on a pale, gray, or blue tone. Sometimes, I've felt dizzy and have had swelling in my legs or abdomen. I've also experienced discomfort, which is occasionally relieved when I sit upright or lean forward. Additionally, I've detected a weak or absent pulse, and I've been feeling drowsy. To make matters worse, I've had palpitations and signs of jaundice, which have left me feeling extremely concerned about my health."
https://medlineplus.gov/ency/article/001043.htm,Tonsillitis,"Fever and chills | Ear pain | Sore throat, which lasts longer than 48 hours and may be severe | Difficulty swallowing | Problems breathing, if the tonsils are very large | Headache | Tenderness of the jaw and throat | Problems eating or drinking","I've been struggling with a range of symptoms, including fever and chills, ear pain, and a severe sore throat that has persisted for more than 48 hours. I've also been having difficulty swallowing, which is making it hard for me to eat and drink. On top of this, I've been experiencing problems breathing, which I think might be due to my enlarged tonsils. Additionally, I've been dealing with headaches and tenderness in my jaw and throat, making everyday activities like eating and drinking a real challenge."
https://medlineplus.gov/ency/article/000320.htm,Diabetic ketoacidosis,"Flushed face | Fruity-smelling breath | Deep, rapid breathing | Dehydration | Headache | Stomach pain | Dry skin and mouth | Muscle stiffness or aches | Frequent urination or thirst that lasts for a day or more | Decreased alertness","I've been experiencing some concerning symptoms lately, including a persistently flushed face, fruity-smelling breath, and deep, rapid breathing, which I've noticed are accompanied by dehydration, headaches, and stomach pain. Additionally, I've been dealing with dry skin and mouth, muscle stiffness and aches, and frequent urination or thirst that has lasted for more than a day. What's more, I've observed a decrease in my alertness, which is quite unusual for me."
https://medlineplus.gov/ency/article/001050.htm,Cholesteatoma,"Sensation of ear fullness or pressure | Drainage from the ear, which can be chronic | Hearing loss in one ear | Dizziness","I've been experiencing a sensation of fullness or pressure in my ear, accompanied by chronic drainage from the ear, which is quite concerning. Additionally, I've noticed hearing loss in one ear, and to make matters worse, I've been feeling dizzy, which is affecting my daily life."
https://medlineplus.gov/ency/article/000613.htm,Staphylococcal meningitis,"Bulging fontanelles in infants | Fever and chills | Poor feeding or irritability in children | Stiff neck | Nausea and vomiting | Severe headache | Rapid breathing | Unusual posture, with the head and neck arched backwards (opisthotonos) | Decreased alertness | Agitation | Mental status changes | Sensitivity to light (photophobia)","I've been observing some concerning symptoms in my child, including bulging fontanelles, and I've also been experiencing some alarming symptoms myself, such as fever and chills, stiff neck, and severe headache. Additionally, I've noticed that my child is having poor feeding or is extremely irritable, and I've been dealing with nausea and vomiting. Furthermore, I've observed rapid breathing, unusual posture with the head and neck arched backwards, decreased alertness, agitation, and mental status changes. To make matters worse, I'm extremely sensitive to light, which is exacerbating my condition."
https://medlineplus.gov/ency/article/007763.htm,Methylmercury poisoning,Impaired mental functioning | Growth problems | Deafness | Movement or coordination problems | Cerebral palsy (in the child of a pregnant woman exposed to methylmercury) | Blindness | Lung function impairment | Seizures | Small head (microcephaly),"I've been concerned about the potential effects of mercury poisoning, and I've been experiencing impaired mental functioning, which is really worrying me. Along with this, I've noticed growth problems, and I'm also struggling with deafness and movement or coordination problems. I've even had seizures, which are very frightening. On top of all this, I've been dealing with lung function impairment, and I'm also experiencing blindness. Furthermore, I've been aware of the risk of cerebral palsy in children if their mothers were exposed to methylmercury during pregnancy, and I've even noticed that some individuals have a small head, a condition known as microcephaly."
https://medlineplus.gov/ency/article/001352.htm,Scalded skin syndrome,"Skin slips off with gentle pressure, leaving wet red areas (Nikolsky sign) | Blisters | Redness of the skin (erythema), which spreads to cover most of the body | Large areas of skin peel or fall away (exfoliation or desquamation) | Fever | Painful skin","I've been experiencing a severe skin condition, characterized by skin that slips off with gentle pressure, leaving wet red areas, which I've learned is known as the Nikolsky sign. I've also developed painful blisters, and my skin has become severely red and inflamed, covering most of my body. To make matters worse, large areas of my skin are peeling or falling away, which is extremely uncomfortable. On top of all this, I've been running a fever, and my skin is extremely painful to the touch."
https://medlineplus.gov/ency/article/001129.htm,Gastrointestinal fistula,Some fistulas may not cause symptoms. | Other fistulas cause intestinal contents to leak through an opening in the skin.,"I've noticed that I've been experiencing some unusual issues, and I'm not sure what's going on, but some fistulas don't seem to cause any symptoms, while others are causing intestinal contents to leak through an opening in my skin."
https://medlineplus.gov/ency/article/007680.htm,Endocarditis - children,"Red, painless skin spots on the palms and soles (Janeway lesions) | Come and go, or be more noticeable at nighttime | Loss of appetite | Muscle pain | Shortness of breath | Tiredness | Weight loss | Red, painful nodes in the pads of the fingers and toes (Osler nodes) | Swelling of feet, legs, abdomen | Small bleeding areas under the nails (splinter hemorrhages) | Be present for days before any other symptoms appear | Joint pain | Trouble breathing","I've been experiencing some concerning symptoms lately, including the appearance of red, painless skin spots on the palms of my hands and soles of my feet, which seem to come and go, or are more noticeable at nighttime. I've also lost my appetite, and I've been struggling with muscle pain, shortness of breath, and overwhelming tiredness, which has led to significant weight loss. Additionally, I've noticed red, painful nodes on the pads of my fingers and toes, and my feet, legs, and abdomen have been swelling. I've also observed small bleeding areas under my nails, and I've been experiencing joint pain and trouble breathing. It's worth noting that these symptoms started appearing days before any other symptoms showed up."
https://medlineplus.gov/ency/article/000139.htm,Parapneumonic pleural effusion,"Shortness of breath | Cough with sputum | Rapid breathing | Chest pain, usually a sharp pain that is worse with cough or deep breaths | Fever","I've been experiencing some concerning respiratory symptoms lately, including shortness of breath and a persistent cough that brings up sputum. I've also noticed that I've been breathing rapidly, which is quite unsettling. Additionally, I've been having sharp chest pain that worsens when I cough or take deep breaths. To make matters worse, I've developed a fever, which is only adding to my discomfort."
https://medlineplus.gov/ency/article/001288.htm,Testicular cancer,"Enlarged testicle or a change in the way it feels | Pain in the back or lower abdomen | Excess amount of breast tissue (gynecomastia), however this can occur normally in adolescent boys who do not have testicular cancer | Discomfort or pain in the testicle, or a feeling of heaviness in the scrotum | Lump or swelling in either testicle","I've been noticing some concerning symptoms lately, including an enlarged testicle or a change in the way it feels, which has been accompanied by pain in my back or lower abdomen. Additionally, I've developed an excess amount of breast tissue, which I'm not sure is normal for my age. I've also been experiencing discomfort or pain in my testicle, or a feeling of heaviness in my scrotum, and I've detected a lump or swelling in one of my testicles."
https://medlineplus.gov/ency/article/001316.htm,Malignant teratoma of the mediastinum,Chest pain or pressure | Cough | Shortness of breath | Fatigue | Limited ability to tolerate exercise,"I've been experiencing some concerning symptoms lately, including chest pain or pressure, which is often accompanied by a persistent cough. I've also been struggling with shortness of breath, even when I'm not exerting myself, and I've noticed that I'm constantly feeling fatigued. What's more, I've found that I have a limited ability to tolerate exercise, which is unusual for me, and I'm worried that something might be wrong."
https://medlineplus.gov/ency/article/000247.htm,Pancreas divisum,"Abdominal pain, most often in the upper abdomen that may be felt in the back | Abdominal swelling (distention) | Nausea or vomiting","I've been experiencing some disturbing symptoms lately, including abdominal pain, which is mostly in my upper abdomen, but sometimes radiates to my back, accompanied by abdominal swelling, and often followed by nausea or vomiting."
https://medlineplus.gov/ency/article/000507.htm,Obstructive uropathy,Dribbling of urine | Decreased amount of urine | Weight gain or swelling (edema) of kidney. | Blood in urine | Urge to urinate often | Decrease in the force of urine stream or difficulty urinating | Nausea or vomiting. | Mild to severe pain in the flank. The pain may be felt on one or both sides. | Leakage of urine (incontinence) | Fever. | Need to urinate more often at night | Not feeling as if the bladder is emptied,"I've been experiencing some troubling urinary symptoms lately, including dribbling of urine and a decreased amount of urine. I've also noticed weight gain and swelling in my kidney area, which is concerning. Additionally, I've seen blood in my urine, and I have a frequent urge to urinate, which is disrupting my daily life. Furthermore, I've had difficulty urinating, with a decreased force of my urine stream, and I've been experiencing nausea and vomiting. I've been having mild to severe pain in my flank, which can be felt on one or both sides, and I've been dealing with leakage of urine, which is embarrassing and frustrating. To make matters worse, I've had fever and have been waking up multiple times at night to urinate, and even after urinating, I don't feel like my bladder is fully emptied."
https://medlineplus.gov/ency/article/000632.htm,Erysipeloid,Bright red skin in the infected area | Fluid-filled blisters | Swelling of the area | Low fever if the infection spreadsÂ | Swollen lymph nodes (sometimes) | Throbbing pain with itching or burning sensation,"I've been experiencing some concerning symptoms on my skin, including bright red skin in the infected area, fluid-filled blisters, and swelling of the affected area, which is accompanied by a throbbing pain that's often accompanied by an itching or burning sensation. Occasionally, I've also had a low fever, which I'm worried might be a sign that the infection is spreading. Additionally, I've noticed that my lymph nodes have become swollen, which is adding to my concern."
https://medlineplus.gov/ency/article/000709.htm,Migraine,"Last 4 to 72 hours | Neck pain | Migraine with aura (classic migraine) | Sweating | Temporary blind spots or colored spots | Start as a dull ache and get worse within minutes to hours | Are worse on one side of the head with pain behind the eye or in the back of the head and neck | Are throbbing, pounding, or pulsating | Feeling mentally dull, like your thinking is not clear or sharp | Needing more sleep | Migraine without aura (common migraine) | Blurred vision | Seeing stars, zigzag lines, or flashing lights | Loss of appetite | Tunnel vision (only able to see objects close to the center of the field of view) | Increased urination | Chills | Sensitivity to light or sound | Eye pain | Fatigue | Nausea and vomiting","I've been experiencing some debilitating migraine episodes over the last 4 to 72 hours, which usually start as a dull ache and rapidly worsen within minutes to hours. The pain is typically throbbing, pounding, or pulsating and is usually worse on one side of my head, often accompanied by pain behind my eye or in the back of my head and neck. I've also been dealing with neck pain, and sometimes I get a migraine with aura, which is characterized by temporary blind spots or colored spots, blurred vision, seeing stars, zigzag lines, or flashing lights, and even tunnel vision. Additionally, I've been feeling mentally dull, like my thinking is not clear or sharp, and I've been needing more sleep. I've also noticed that I've been experiencing increased urination, chills, and sensitivity to light or sound. Furthermore, I've been experiencing eye pain, fatigue, nausea, and vomiting, which have also been accompanied by a loss of appetite."
https://medlineplus.gov/ency/article/002518.htm,Para-aminobenzoic acid,"Eye irritation if it touches the eyes | Liver failure | Slowed breathing | Nausea, vomiting | Shortness of breath | Dizziness | Stupor (altered thinking and decreased level of consciousness) | Diarrhea | Rash (in allergic reactions) | Coma (unresponsiveness) | Fever","I've been experiencing a multitude of alarming symptoms lately, including eye irritation if I accidentally touch my eyes, and I'm worried that it could be related to liver failure. I've been having slowed breathing, accompanied by nausea and vomiting, which has left me feeling short of breath and dizzy. At times, I've felt disoriented and lethargic, almost in a stupor, with altered thinking and a decreased level of consciousness. Additionally, I've been dealing with diarrhea and have noticed a rash, which I suspect might be an allergic reaction. I'm terrified that if left untreated, my condition could progress to a coma, and I've also been experiencing feverish episodes."
https://medlineplus.gov/ency/article/001014.htm,Amblyopia,Poor vision in one eye | Inability to judge depth correctly | Eyes that do not appear to work together | Eyes that turn in or out,"I've been struggling with some eye issues lately, including poor vision in one eye, which has made it difficult for me to judge depth correctly. Additionally, I've noticed that my eyes don't seem to work together properly, and sometimes they even turn in or out, which is quite concerning."
https://medlineplus.gov/ency/article/007672.htm,Hepatitis C - children,Dark urine | Yellow skin and eyes (jaundice) | Clay-colored or pale stools | Loss of appetite | Nausea and vomiting | Pain in the right upper abdomen | Tiredness | Fever,"I've been experiencing some concerning symptoms lately, including dark urine and yellow skin and eyes, which I've learned is a sign of jaundice. Additionally, my stools have been clay-colored or pale, and I've lost my appetite. I've also been dealing with nausea and vomiting, which has been accompanied by pain in my right upper abdomen. On top of all this, I've been feeling extremely tired and weak, and I've had a fever, which has left me feeling miserable."
https://medlineplus.gov/ency/article/002479.htm,Oxalic acid poisoning,"Burning | Vision loss | Chest pain | Severe pain | Vomiting | ShockÂ (rapid drop in blood pressure) | Drooling | Tremors (unintentional trembling) | Throat pain and swelling, which leads to difficulty breathing | Burns and blisters where the acid contacted the skin, lips, tongue, and gums | Mouth pain | Seizures | Abdominal pain | Collapse","I've been experiencing a multitude of severe symptoms, including a burning sensation, vision loss, and excruciating chest pain, which is often accompanied by severe pain elsewhere in my body. I've also been vomiting, and I'm concerned about signs of shock, such as a rapid drop in blood pressure. Additionally, I've been experiencing drooling, tremors, and throat pain, which has led to difficulty breathing. The acid exposure has caused burns and blisters on my skin, lips, tongue, and gums, resulting in mouth pain. Furthermore, I've had seizures, abdominal pain, and even collapsed at times."
https://medlineplus.gov/ency/article/000042.htm,Strains,Discolored and bruised skin | Pain and difficulty moving the injured muscle | Swelling,"I've been noticing that my skin has become discolored and bruised, and I've been experiencing pain and difficulty moving the injured muscle, which is accompanied by significant swelling."
https://medlineplus.gov/ency/article/000997.htm,Down syndrome,"Hearing problems, probably caused by repeated ear infections | Upward slanting eyes | Short attention span | DementiaÂ | Small mouth | White spots on the colored part of the eye (Brushfield spots) | Impulsive behavior | Birth defects involving the heart, such as an atrial septal defect or ventricular septal defect | Long-term (chronic) constipation problems | Decreased muscle tone at birth | Single crease in the palm of the hand | Separated joints between the bones of the skull (sutures) | Sleep apnea (because the mouth, throat, and airway are narrowed in children with Down syndrome) | Teeth that appear later than normal and in a location that may cause problems with chewing | Eye problems, such as cataracts (most children with Down syndrome need glasses) | Underactive thyroid (hypothyroidism) | Wide, short hands with short fingers | Excess skin at the nape of the neck | Slow learning | Poor judgment | Early and massive vomiting, which may be a sign of a gastrointestinal blockage, such as esophageal atresia and duodenal atresia | Flattened nose | Small ears | Hip problems and risk of hipÂ dislocation","I've been noticing a range of health concerns that I'm worried about, including hearing problems that might be related to repeated ear infections, and some distinct physical features such as upward slanting eyes, a small mouth, white spots on the colored part of my eye, and a single crease in the palm of my hand. I've also been experiencing impulsive behavior, and I've been dealing with chronic constipation and sleep apnea. Additionally, I've been struggling with dental issues, including teeth that have appeared later than normal and in problematic locations, which have made chewing difficult. Furthermore, I've been experiencing eye problems, including cataracts, and I've been told I need glasses. I've also been diagnosed with hypothyroidism, and I've noticed that I have wide, short hands with short fingers, as well as excess skin at the nape of my neck. Unfortunately, I've been struggling with slow learning, poor judgment, and dementia. I've also experienced early and massive vomiting, which could be a sign of a gastrointestinal blockage. Physically, I've noticed that I have a flattened nose, small ears, and I'm at risk of hip problems and dislocation."
https://medlineplus.gov/ency/article/000648.htm,Peritonitis - spontaneous bacterial,Abdominal tenderness | Chills | Low urine output | Nausea and vomiting | Abdominal pain and bloating | Fever | Joint pain,"I've been experiencing some distressing symptoms lately, including abdominal tenderness and chills, accompanied by a significant decrease in my urine output. I've also been dealing with nausea and vomiting, which have been exacerbated by severe abdominal pain and bloating. To make matters worse, I've had a fever and have been experiencing joint pain, which has made it difficult for me to move around comfortably."
https://medlineplus.gov/ency/article/007683.htm,Brief resolved unexplained event - BRUE,"Change in muscle tone -- most often they are limp, but they may become rigid | Breathing changes -- either no effort at breathing, breathing with great difficulty, or decreased breathing | Change in level of responsiveness | Color change -- most often blue or pale (many infants turn red, when crying for example, so this does not indicate a BRUE)","I've been observing some concerning changes in my baby's behavior, including a change in muscle tone, where they often seem limp, but sometimes become rigid. Additionally, I've noticed breathing changes, such as no effort to breathe, great difficulty breathing, or a decrease in breathing. There's also been a change in their level of responsiveness, and I've noticed a color change, where their skin turns blue or pale, which is quite alarming."
https://medlineplus.gov/ency/article/000920.htm,Schizoid personality disorder,"Appears distant and detached | Does not want or enjoy close relationships, even with family members | Avoids social activities that involve emotional closeness with other people","I've been struggling with feelings of detachment, and I've noticed that I've been pulling away from close relationships, even with my family members, and I've been avoiding social activities that involve emotional closeness with other people, as they make me feel uncomfortable."
